1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country_x,place_slug,iata_code,city,country_y,rank,overall_score,cost_score,internet_score,like_score,temperature_c,temperature_f,feels_like_c,feels_like_f,internet_speed_mbps,monthly_cost_usd,monthly_cost_cents,image_url
323.0,2.0,17.0,793.0,2.0,0.91,1.72,3.0,785.0,500.0,2.0,1.0,4.0,4.0,3.0,1.0,7.0,3.0,2.0,2.0,3.0,3.0,0.0,0.0,1.0,3.0,1.0,4.0,2.83,Latin America,Brazil,florianopolis,FLN,florianopolis,Brazil,95,2.87,4.958857142857143,1.3785714285714286,3.333333333333333,22.0,72.0,22.0,72.0,11.0,1536.0,1536,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/florianopolis-brazil.jpg?1703548877"
335.0,2.0,34.0,1037.0,1.0,0.78,2.09,3.0,838.0,542.0,2.0,1.0,2.1935345704614457,2.0,2.0,3.0,7.0,1.0,1.9760645052985308,2.0,3.0,1.0,1.0,0.0,2.0,2.0,1.0,2.0,3.64,Latin America,Paraguay,asuncion,ASU,asuncion,Paraguay,21,3.09,4.829714285714286,1.292857142857143,3.333333333333333,28.0,82.0,28.0,82.0,10.0,1649.0,1649,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/asuncion-paraguay.jpg?1744502424"
186.0,2.0,14.0,1068.0,1.0,0.99,1.34,3.0,803.0,362.0,1.0,2.0,2.0,1.0,3.0,2.0,6.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,2.0,3.0,4.0,1.0,3.68,Latin America,Argentina,mendoza,MDZ,mendoza,Argentina,82,2.89,5.0,1.3,5.0,19.0,66.0,19.0,66.0,10.0,1481.0,1481,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/mendoza-argentina.jpg?1737504029"
110.0,2.0,10.0,854.0,1.0,1.1,1.19,3.0,563.0,270.0,2.0,2.0,4.0,3.0,3.0,2.0,9.0,3.0,2.0,3.0,3.0,3.0,0.0,0.0,2.0,3.0,4.0,4.0,3.81,Latin America,Argentina,cordoba,ODB,cordoba,Argentina,38,2.9900000000000007,5.0,1.3857142857142857,5.0,26.0,79.0,26.0,79.0,11.0,1489.0,1489,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/cordoba-argentina.jpg?1705622558"
451.0,2.0,33.0,641.0,2.0,1.08,1.45,3.0,834.0,591.0,2.0300514032130845,1.0,3.0,4.0,3.0,1.0,12.0,2.0,1.0,2.0,3.0,3.0,0.0,0.0,1.0,2.0,1.0,4.0,3.59,Latin America,Brazil,recife,REC,recife,Brazil,58,2.94,5.0,1.4428571428571428,5.0,33.0,91.0,33.0,91.0,12.0,1414.0,1414,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/recife-brazil.jpg?1705622888"
478.0,2.0,25.0,1495.0,1.9743188538751584,2.19,1.61,2.0,1287.0,709.0,2.0,2.0,4.0,3.0,2.0,3.0,41.0,3.0,3.0,3.0,3.0,2.6358529613249706,0.0,1.0,3.0,3.0,4.0,4.0,4.25,Europe,Slovenia,ljubljana,LJU,ljubljana,Slovenia,24,3.05,2.5542857142857143,2.8285714285714283,5.0,22.0,72.0,22.0,72.0,37.0,3640.0,3640,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/ljubljana-slovenia.jpg?1705449694"
394.0,2.0,20.0,4697.0,3.0,2.09,1.63,1.0,2086.0,636.0,3.0,2.0,3.0,2.0,2.0,3.0,13.0,2.0,2.0,3.0,3.0,2.0,0.0,0.0,3.0,3.0,4.0,4.0,3.85,Europe,Croatia,split,SPU,split,Croatia,60,2.9300000000000006,3.728,1.5571428571428574,4.583333333333333,21.0,70.0,21.0,70.0,14.0,2613.0,2613,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/split-croatia.jpg?1738022424"
604.0,3.0,19.0,1769.0,3.0,1.17,0.9,2.0,1279.0,719.0,3.0,3.0,3.0,2.0,2.0,4.0,38.0,3.0,3.0,4.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.48,Europe,Portugal,porto,OPO,porto,Portugal,49,2.95,3.017142857142857,2.0357142857142856,3.461538461538461,18.0,64.0,18.0,64.0,23.0,3235.0,3235,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/porto-portugal.jpg?1733961625"
1100.0,3.0,18.0,2044.0,2.0,1.92,4.02,2.0,2033.0,1359.0,3.0,2.0,3.0,2.0,3.0,3.0,41.0,3.0,2.0,3.0,3.0,3.0,0.0,1.0,3.0,3.0,4.0,4.0,4.36,North America,United States,dallas tx,DFW,dallas tx,United States,57,2.94,2.1805714285714286,4.635714285714286,5.0,25.0,77.0,25.0,77.0,68.0,3967.0,3967,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/dallas-tx-united-states.jpg?1719360172"
585.0,2.0,48.0,1464.0,3.0,1.14,4.79,3.0,1330.0,963.0,3.0,2.0,3.0,3.0,2.0,3.0,34.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,1.0,4.51,Asia,South Korea,busan,PUS,busan,South Korea,36,3.0,4.538285714285714,2.742857142857143,4.285714285714286,16.0,61.0,16.0,61.0,35.0,1904.0,1904,"https://nomads.com/cdn-cgi/image/format=auto,fit=cover,width=300,height=150,quality=75/assets/img/places/busan-south-korea.jpg?1706054493"
