1br_studio_rent_in_center,adult_nightlife,air_quality_(year-round),airbnb_(monthly),cashless_society,coca-cola,coffee,cost_of_living,cost_of_living_for_expat,cost_of_living_for_local,female_friendly,freedom_of_speech,friendly_to_foreigners,fun,happiness,healthcare,internet,lgbt_friendly,nightlife,peace,quality_of_life,racial_tolerance,religious_government,safe_tap_water,safety,startup_score,traffic_safety,walkability,nomad_score,region,country,place_slug,iata_code
378.0,2.0,36.0,854.0,1.0,0.62,1.22,3.0,711.0,468.0,1.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,1.0,1.0,3.0,1.0,0.0,0.0,1.0,3.0,3.0,4.0,3.82,Latin America,Colombia,santa marta,SMR
328.0,2.0,44.0,824.0,1.0,0.67,1.38,3.0,686.0,442.0,2.0,1.0,2.0,2.0,3.0,3.0,7.0,2.0,3.0,1.0,3.0,2.0,1.0,0.0,1.0,2.0,3.0,4.0,4.12,Latin America,Colombia,barranquilla,BAQ
691.0,3.0,41.0,1007.0,1.0,0.56,1.73,3.0,1077.0,784.0,1.0,1.0,4.0,4.0,3.0,3.0,9.0,1.0,3.0,1.0,3.0,1.3902641226791352,0.0,0.0,1.0,3.0,3.0,4.0,3.88,Latin America,Colombia,cartagena,CTG
435.0,3.0,52.0,732.0,1.0,0.66,1.41,3.0,799.0,550.0,2.0,1.0,4.0,3.0,3.0,3.0,7.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,1.0,3.0,3.0,4.0,4.03,Latin America,Colombia,bogota,BOG
1547.0,2.0,27.0,2959.0,2.0,3.17,5.79,1.0,3489.0,2495.0,4.0,4.0,3.0,3.0,4.0,3.0,41.0,3.0,3.0,4.0,3.0,4.0,0.0,1.0,4.0,4.0,4.0,4.0,4.33,Europe,Denmark,copenhagen,CPH
820.0,2.0,16.0,1861.0,2.0,2.14,3.38,1.0,2149.0,1246.0,4.0,3.0,3.0,3.0,3.0,3.0,42.0,3.0,2.0,4.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,3.77,Europe,Belgium,ghent,GNE
389.0,2.0,27.0,915.0,2.0,0.93,1.97,3.0,891.0,580.0,2.0,2.0,2.0,2.0,2.0,3.0,29.0,1.0,2.0,3.0,3.0,2.0,0.0,1.0,3.0,3.0,4.0,4.0,4.089206639380559,Europe,Poland,poznan,POZ
367.0,2.0,54.0,2074.0,1.0,0.66,1.94,3.0,1072.0,512.0,1.0,1.0,1.0,2.0,3.0,2.0,16.0,1.0,2.0,2.0,3.0,2.0,1.0,0.0,1.0,3.0,4.0,1.0,3.54,Latin America,Mexico,tulum,TQO
536.0,2.0,33.0,976.0,2.0,1.02,2.01,3.0,1080.0,724.0,3.0,2.0,3.0,4.0,2.0,3.0,28.0,2.0,3.0,3.0,3.0,2.0,0.0,1.0,4.0,3.0,4.0,4.0,4.11,Europe,Poland,warsaw,WMI
1085.0,3.0,24.0,1952.0,3.0,2.19,2.27,1.0,2021.0,1301.0,3.0,3.0,2.0,3.0,3.0,4.0,29.0,3.0,3.0,3.0,3.0,2.0,0.0,1.0,3.0,4.0,4.0,4.0,4.029474577106795,Europe,Spain,barcelona,BLA
